user,yold,trial,selection,cue_a,cue_b,pos_a,pos_b,success,reward,time,reverse
pete,11,1,2,2,0,1,2,1,1,3588,64
pete,11,2,0,0,1,2,1,0,0,1926,64
pete,11,3,2,2,3,1,3,0,1,1845,64
pete,11,4,3,0,3,0,3,1,1,2072,64
pete,11,5,2,2,0,0,1,1,0,1518,64
pete,11,6,1,2,1,2,1,0,0,1337,64
pete,11,15,2,3,2,2,0,0,0,2070,64
pete,11,17,3,3,2,1,2,1,1,3567,64
pete,11,18,0,1,0,1,0,0,0,1587,64
pete,11,19,0,0,3,1,0,0,0,1309,64
pete,11,20,1,1,3,0,2,0,0,1349,64
pete,11,21,1,1,3,0,3,0,1,1817,64
pete,11,22,3,3,1,0,2,1,1,1259,64
pete,11,23,2,3,2,2,3,0,0,1420,64
pete,11,24,2,0,2,2,3,1,1,2067,64
pete,11,25,0,0,3,1,3,0,0,2123,64
pete,11,26,2,1,2,2,1,1,1,1776,64
pete,11,27,0,1,0,3,0,0,0,1623,64
pete,11,28,2,3,2,2,3,0,1,1765,64
pete,11,29,1,1,3,0,2,0,0,1450,64
pete,11,30,2,3,2,2,1,0,0,1422,64
pete,11,31,2,1,2,2,3,1,0,1572,64
pete,11,32,3,3,0,0,1,1,1,1302,64
pete,11,33,1,1,3,1,0,0,0,1437,64
pete,11,34,0,0,2,1,2,0,0,2256,64
pete,11,40,0,1,0,2,1,0,0,1582,64
pete,11,41,2,1,2,2,0,1,0,1895,64
pete,11,42,1,1,3,3,2,0,0,1500,64
pete,11,43,3,3,1,3,0,1,1,1375,64
pete,11,44,1,1,0,3,2,1,0,1253,64
pete,11,45,2,2,3,3,2,0,1,3705,64
pete,11,46,1,2,1,3,0,0,1,1541,64
pete,11,47,1,3,1,2,3,0,0,1477,64
pete,11,48,0,0,1,0,1,0,0,1340,64
pete,11,49,0,1,0,0,3,0,0,1253,64
pete,11,50,1,3,1,3,0,0,0,1316,64
pete,11,51,2,2,3,3,0,0,1,1422,64
pete,11,52,3,3,0,0,1,1,1,1428,64
pete,11,54,0,3,0,2,0,0,0,1313,64
pete,11,56,3,3,1,3,0,1,1,1304,64
pete,11,59,1,1,3,1,0,0,0,1833,64
pete,11,61,0,2,0,3,0,0,0,2269,64
pete,11,63,3,1,3,1,3,1,1,1514,64
pete,11,64,0,0,3,0,1,1,1,3728,64
pete,11,65,0,0,3,0,3,1,1,1435,64
pete,11,66,2,1,2,3,0,0,1,1497,64
pete,11,67,1,1,0,0,1,0,0,1406,64
pete,11,68,1,3,1,2,3,1,1,1979,64
pete,11,69,1,0,1,1,3,0,1,1821,64
pete,11,70,3,3,1,1,2,0,0,2095,64
pete,11,71,1,2,1,2,0,1,1,1394,64
pete,11,72,1,2,1,3,0,1,1,2822,64
pete,11,73,0,3,0,1,3,1,1,1558,64
pete,11,74,3,1,3,2,0,0,0,1284,64
pete,11,75,3,3,2,3,1,0,0,1757,64
pete,11,76,3,3,1,0,3,0,0,1182,64
pete,11,77,0,2,0,1,3,1,1,1679,64
pete,11,78,3,2,3,2,3,0,0,1114,64
pete,11,79,2,3,2,1,3,1,1,983,64
pete,11,80,0,3,0,1,0,1,1,1198,64
pete,11,81,3,3,0,0,1,0,0,1599,64
pete,11,82,1,0,1,1,3,0,0,1508,64
pete,11,83,0,0,3,0,3,1,1,1330,64
pete,11,84,2,1,2,2,3,0,0,1275,64
pete,11,85,3,3,2,0,2,0,0,1181,64
pete,11,86,1,1,2,3,2,1,1,1106,64
pete,11,87,2,3,2,1,3,1,1,1548,64
pete,11,88,2,1,2,3,0,0,1,1311,64
pete,11,89,2,3,2,0,3,1,0,3165,64
pete,11,90,3,3,2,0,2,0,0,1465,64
pete,11,91,0,0,2,3,2,1,1,1410,64
pete,11,92,1,1,2,3,2,1,1,1788,64
pete,11,93,3,0,3,3,0,0,0,1776,64
pete,11,94,2,2,1,3,0,0,0,1011,64
pete,11,95,3,3,2,0,3,0,0,1300,64
pete,11,96,1,1,0,3,2,0,0,1485,64
pete,11,97,3,2,3,1,0,0,0,1472,64
pete,11,98,2,0,2,2,1,0,0,2266,64
pete,11,99,0,1,0,1,3,1,1,1707,64
pete,11,100,1,2,1,2,1,1,1,2329,64
pete,11,101,3,0,3,1,0,0,0,1328,64
pete,11,102,2,2,1,1,2,0,0,1516,64
pete,11,103,0,2,0,1,2,1,1,1951,64
pete,11,104,3,1,3,0,3,0,0,1981,64
pete,11,105,1,1,0,1,0,0,1,1493,64
pete,11,106,1,3,1,3,0,1,1,1858,64
pete,11,107,1,2,1,2,1,1,0,1883,64
pete,11,108,2,2,1,1,2,0,0,2331,64
pete,11,109,0,0,1,3,0,1,1,2489,64
pete,11,110,3,2,3,2,3,0,0,2377,64
pete,11,111,1,1,0,0,2,0,0,1895,64
pete,11,112,3,3,0,0,2,0,0,2031,64
pete,11,113,1,3,1,1,3,1,1,1713,64
pete,11,114,3,3,0,0,2,0,0,1487,64
pete,11,115,3,3,2,2,0,0,0,1742,64
pete,11,116,0,0,2,3,2,1,1,1851,64
pete,11,117,2,1,2,3,1,0,0,1513,64
pete,11,118,2,3,2,2,3,1,1,1268,64
pete,11,119,0,2,0,2,3,1,1,1701,64
